,index,media_id,img_url,alt_text
117,158,3_1547266384228483072,https://pbs.twimg.com/media/FXj-lCTXgAAlE-3.jpg,"Block of four connected U.S. stamps, all two-cents. Text around stamps says National Parks Centennial and Cape Hatteras National Seashore. Each of the stamps shows part of one beach scene, showcasing driftwood with seagulls, dune plants, people fishing, a lighthouse, and the waves."
118,159,3_1547258298130472960,https://pbs.twimg.com/media/FXj3OXPXoAAgwyQ.jpg,"Wide painting of a beach scene. The sky, sea, and sand each occupy one third of the space. The water is green-blue with white crests. "
119,160,3_1547254978586284032,https://pbs.twimg.com/media/FXj0NI-XEAAuyJQ.jpg,"Woven tapestry with think stripes of blue, white, black, and one red coming from left to right across the rectangular area. Upper right has thinner lines of white, grey, brown, and blue. It suggests a peaceful body of water or mountains."
120,161,3_1547254467745251330,https://pbs.twimg.com/media/FXjzvZ8XgAI7Xy0.jpg,"Painting with loose, casual brush strokes showing a beach scene with many people in colorful clothing, homes and church in background, ships on the blue sea, and fluffy white clouds above."
121,162,3_1547253800125300736,https://pbs.twimg.com/media/FXjzIi3XgAA-UCl.jpg,"Blustery grey-is beach painting with sand that has stripes of yellow-brown seaweed on it, a leafless thin tree trunk, a ship in distance, and a house in distance, and big clouds."
122,163,3_1543945833401487363,https://pbs.twimg.com/media/FW0yjihXEAMIcg5.jpg,Portable wooden writing desk with a writing surface and storage drawer.
123,164,3_1542940579419627520,https://pbs.twimg.com/media/FWmgSDnXoAALxSk.jpg,Illustration of American flag on brown pole. Yellow/orange background.
124,165,3_1542212292552675329,https://pbs.twimg.com/media/FWcJ6LnX0AE1Wnw.jpg,"Illustrated portrait of Jose Sarria in a blue dress with white details on shoulders and wrists, long layered necklaces, tiara in an up-do hair style, and scepter. Behind Sarria, a city streetscape and ""Black Cafe"" text."
125,166,3_1542208916326604806,https://pbs.twimg.com/media/FWcG1qMWYAYHKUl.png,"2. Organize transportation. Our time is short! We have to get thousands of people to Washington on short notice. Set up your transportation committee at once and have a hardworking and reliable person head it up. Investigate carefully the possibility of bringing your group by train--it is a little more expensive but special rates are available, and the more who come by rail, the less congestion there will be on the roads. If you come by bus make sure that you have a written contract issued in advance and that the bus company has a group insurance policy in effect that covers all members of the group."
126,167,3_1542205894511005696,https://pbs.twimg.com/media/FWcEFxDXkAAEaPv.jpg,"Text on cover of brochure: Marsh on Washington For Jobs and Freedom / August 28, 1963 / Organizing Manual No. 1. 

Below the title is a brief introduction explaining that this edition of the manual is to help march delegations start organizing now and that a second edition will be published before the march with final details. 

At the bottom is printed National Office / March on Washington / For Jobs and Freedom / 170 West 130th STREET / NEW YORK 27, NEW YORK / Filmore 8-1900] and in the bottom left is [Cleveland Robinson / Chairman, Administrative Committee] and in the bottom right is Bayard Rustin / Deputy Director."
127,168,3_1541490910776770560,https://pbs.twimg.com/media/FWR50PFXwAAkv6T.jpg,"Draped canvas held to wall at five high points like mountain peaks, with fabric flowing down cowl-like below. Colors range from purple to gold and yellow, some with a marbled effect. In museum gallery setting."
128,169,3_1541489880680828929,https://pbs.twimg.com/media/FWR44RrXEAEsvWv.jpg,"In a museum gallery, draped canvas dangling from string is painted in vivid colors, including purples and reds on top as well as darker reds and blues towards the part of the canvas that is closest to the floor."
129,170,3_1540322885100834819,https://pbs.twimg.com/media/FWBTgMXXEAMPINC.png,"Graphic for Smithsonian National Education Summit with yellow and blue geometric shapes in a stair-like pattern. Text: July 27-28, 2022. Online. Washington DC."
130,171,3_1538135112906317825,https://pbs.twimg.com/media/FViNvF1WIAEcLwP.jpg,"Display case in museum gallery with a musical instrument, posters, clothing, and other items."
131,172,3_1538134216004751360,https://pbs.twimg.com/media/FViM64nWUAA_7Ho.jpg,Museum gallery with text ¡Presente! in gold
132,173,3_1538133370500173827,https://pbs.twimg.com/media/FViMJq3WUAMPOX3.jpg,"Clay tree sculpture with people and butterflies, intricately painted."
133,174,3_1538132164771979264,https://pbs.twimg.com/media/FViLDfLWIAA8Q6L.jpg,Clay sculpture of a tree with rounded branches and small figures and butterflies. On display in museum gallery. Text on wall in background: shaping the nation.
134,175,3_1537772425328353280,https://pbs.twimg.com/media/FVdD35UWYAAA64e.jpg,"A man with brown skin faces his demise on a dismasted, rudderless fishing boat, sustained by only a few stalks of sugarcane, while threatened by sharks and a distant waterspout. He is oblivious to the schooner on the left horizon"
135,176,3_1537772264665530369,https://pbs.twimg.com/media/FVdDuizWQAEG2NU.jpg,"Comic illustration of Richard Nixon, shirtless, in a small boat with a broken mast. It is surrounded by sharks and his face looks dismayed. Inside the boat are opinion polls and tape recordings.  "
136,177,3_1537771609926279168,https://pbs.twimg.com/media/FVdDIbtWIAAGZuI.jpg,"Based on the Great Seal of the United States, this portrait features President Nixon’s photograph collaged on the head of the eagle. The lower portion is split into photographs Henry Kissinger, John N. Mitchell, John Ehrlichman, and H. R. “Bob” Haldeman. "
137,178,3_1537771408331259905,https://pbs.twimg.com/media/FVdC8stWQAEjcsU.jpg,"Cartoon-style illustration of seven white men in business suits, President Nixon in center. They are wrapped in electrical cords, recording equipment. The men around Nixon point fingers at each other. "
138,179,3_1537126140887932929,https://pbs.twimg.com/media/FVT4FMKXoAE54qJ.jpg,"White text: Smithsonian Folklife Festival, June 22–27 and June 30–July 4, National Mall, Washington, D.C. Image underneath the text shows a woman and young girl, each with a falcon perched on her arm, on top of a sand dune."
139,180,3_1537125251343175680,https://pbs.twimg.com/media/FVT3RaWX0AAVHgV.jpg,Four adult women and one young child stand in the desert. There hold falcons. One of the falcons has its wings spread wide.
140,181,3_1531275502069088257,https://pbs.twimg.com/media/FUAu9MIWAAEOoWB.jpg,"Wide panoramic photo of soldiers posing, the front row sitting cross legged."
